Unnamed: 0,Year,Experience Level,Employment Type,Job Title,Salary (USD),Employee Country,Remote Ratio,Company Country,Company Size,Salary Range,US Company
453,2022,Mid-Level,Full-Time,Machine Learning Engineer,120000,US,Fully Remote,US,Small,$100K–$150K,US
454,2022,Entry-Level,Full-Time,Computer Vision Engineer,125000,US,On-Site,US,Medium,$100K–$150K,US
456,2022,Senior,Full-Time,Data Engineer,105000,US,Fully Remote,US,Medium,$100K–$150K,US
461,2022,Entry-Level,Full-Time,Financial Data Analyst,100000,US,Hybrid,US,Large,$100K–$150K,US
465,2022,Entry-Level,Full-Time,Data Engineer,120000,US,Fully Remote,US,Medium,$100K–$150K,US
466,2022,Senior,Full-Time,Research Scientist,144000,US,Hybrid,US,Large,$100K–$150K,US
467,2022,Senior,Full-Time,Data Scientist,104890,US,Fully Remote,US,Medium,$100K–$150K,US
468,2022,Senior,Full-Time,Data Engineer,100000,US,Fully Remote,US,Medium,$100K–$150K,US
469,2022,Senior,Full-Time,Data Scientist,140000,US,Fully Remote,US,Medium,$100K–$150K,US
470,2022,Mid-Level,Full-Time,Data Analyst,135000,US,Fully Remote,US,Medium,$100K–$150K,US
471,2022,Mid-Level,Full-Time,Data Analyst,50000,US,Fully Remote,US,Medium,Under $60K,US
472,2022,Senior,Full-Time,Data Scientist,220000,US,Fully Remote,US,Medium,$200K+,US
473,2022,Senior,Full-Time,Data Scientist,140000,US,Fully Remote,US,Medium,$100K–$150K,US
476,2022,Senior,Full-Time,Data Scientist,185100,US,Fully Remote,US,Medium,$150K–$200K,US
477,2022,Senior,Full-Time,Machine Learning Engineer,220000,US,Fully Remote,US,Medium,$200K+,US
478,2022,Mid-Level,Full-Time,Data Scientist,200000,US,Fully Remote,US,Medium,$200K+,US
479,2022,Mid-Level,Full-Time,Data Scientist,120000,US,Fully Remote,US,Medium,$100K–$150K,US
480,2022,Senior,Full-Time,Machine Learning Engineer,120000,AE,Fully Remote,AE,Small,$100K–$150K,International
481,2022,Senior,Full-Time,Machine Learning Engineer,65000,AE,Fully Remote,AE,Small,$60K–$100K,International
482,2022,Executive,Full-Time,Data Engineer,324000,US,Fully Remote,US,Medium,$200K+,US
483,2022,Executive,Full-Time,Data Engineer,216000,US,Fully Remote,US,Medium,$200K+,US
484,2022,Senior,Full-Time,Data Engineer,210000,US,Fully Remote,US,Medium,$200K+,US
485,2022,Senior,Full-Time,Machine Learning Engineer,120000,US,Fully Remote,US,Medium,$100K–$150K,US
486,2022,Senior,Full-Time,Data Scientist,230000,US,Fully Remote,US,Medium,$200K+,US
487,2022,Entry-Level,Part-Time,Data Scientist,100000,DZ,Hybrid,DZ,Medium,$100K–$150K,International
488,2022,Mid-Level,Freelance,Data Scientist,100000,CA,Fully Remote,US,Medium,$100K–$150K,US
490,2022,Senior,Full-Time,Head of Data,200000,MY,Fully Remote,US,Medium,$200K+,US
491,2022,Mid-Level,Full-Time,Principal Data Analyst,75000,CA,Fully Remote,CA,Small,$60K–$100K,International
494,2022,Senior,Full-Time,Data Scientist,100000,BR,Fully Remote,US,Medium,$100K–$150K,US
495,2022,Mid-Level,Full-Time,Machine Learning Scientist,153000,US,Hybrid,US,Medium,$150K–$200K,US
497,2022,Senior,Full-Time,Data Scientist,165000,US,Fully Remote,US,Medium,$150K–$200K,US
502,2022,Entry-Level,Full-Time,Data Scientist,40000,JP,Fully Remote,MY,Large,Under $60K,International
504,2022,Senior,Full-Time,Data Engineer,115000,US,Fully Remote,US,Medium,$100K–$150K,US
506,2022,Mid-Level,Full-Time,Applied Machine Learning Scientist,75000,BO,Fully Remote,US,Large,$60K–$100K,US
508,2022,Entry-Level,Full-Time,Research Scientist,120000,US,Fully Remote,US,Large,$100K–$150K,US
509,2022,Mid-Level,Full-Time,Applied Data Scientist,157000,US,Fully Remote,US,Large,$150K–$200K,US
510,2022,Entry-Level,Full-Time,Computer Vision Software Engineer,150000,AU,Fully Remote,AU,Small,$150K–$200K,International
512,2022,Entry-Level,Full-Time,Data Engineer,65000,US,Fully Remote,US,Small,$60K–$100K,US
514,2022,Entry-Level,Full-Time,Data Analytics Engineer,20000,PK,On-Site,PK,Medium,Under $60K,International
515,2022,Mid-Level,Full-Time,Data Scientist,48000,RU,Fully Remote,US,Small,Under $60K,US
516,2022,Senior,Full-Time,Data Science Manager,152500,US,Fully Remote,US,Medium,$150K–$200K,US
519,2022,Senior,Full-Time,Applied Data Scientist,380000,US,Fully Remote,US,Large,$200K+,US
521,2022,Entry-Level,Full-Time,Computer Vision Engineer,10000,PT,Fully Remote,LU,Medium,Under $60K,International
522,2022,Mid-Level,Full-Time,Data Analyst,20000,GR,Fully Remote,GR,Small,Under $60K,International
523,2022,Senior,Full-Time,Data Analytics Lead,405000,US,Fully Remote,US,Large,$200K+,US
524,2022,Mid-Level,Full-Time,Data Scientist,135000,US,Fully Remote,US,Large,$100K–$150K,US
525,2022,Senior,Full-Time,Applied Data Scientist,177000,US,Fully Remote,US,Large,$150K–$200K,US
526,2022,Mid-Level,Full-Time,Data Scientist,78000,US,Fully Remote,US,Medium,$60K–$100K,US
527,2022,Senior,Full-Time,Data Analyst,135000,US,Fully Remote,US,Medium,$100K–$150K,US
528,2022,Senior,Full-Time,Data Analyst,100000,US,Fully Remote,US,Medium,$100K–$150K,US
529,2022,Senior,Full-Time,Data Analyst,90320,US,Fully Remote,US,Medium,$60K–$100K,US
530,2022,Mid-Level,Full-Time,Data Analyst,85000,CA,On-Site,CA,Medium,$60K–$100K,International
531,2022,Mid-Level,Full-Time,Data Analyst,75000,CA,On-Site,CA,Medium,$60K–$100K,International
532,2022,Senior,Full-Time,Machine Learning Engineer,214000,US,Fully Remote,US,Medium,$200K+,US
533,2022,Senior,Full-Time,Machine Learning Engineer,192600,US,Fully Remote,US,Medium,$150K–$200K,US
534,2022,Senior,Full-Time,Data Architect,266400,US,Fully Remote,US,Medium,$200K+,US
535,2022,Senior,Full-Time,Data Architect,213120,US,Fully Remote,US,Medium,$200K+,US
536,2022,Senior,Full-Time,Data Analyst,112900,US,Fully Remote,US,Medium,$100K–$150K,US
537,2022,Senior,Full-Time,Data Engineer,155000,US,Fully Remote,US,Medium,$150K–$200K,US
538,2022,Mid-Level,Full-Time,Data Scientist,141300,US,On-Site,US,Medium,$100K–$150K,US
539,2022,Mid-Level,Full-Time,Data Scientist,102100,US,On-Site,US,Medium,$100K–$150K,US
540,2022,Senior,Full-Time,Data Analyst,115934,US,Fully Remote,US,Medium,$100K–$150K,US
541,2022,Senior,Full-Time,Data Analyst,81666,US,Fully Remote,US,Medium,$60K–$100K,US
542,2022,Mid-Level,Full-Time,Data Engineer,206699,US,On-Site,US,Medium,$200K+,US
543,2022,Mid-Level,Full-Time,Data Engineer,99100,US,On-Site,US,Medium,$60K–$100K,US
544,2022,Senior,Full-Time,Data Engineer,130000,US,Fully Remote,US,Medium,$100K–$150K,US
545,2022,Senior,Full-Time,Data Engineer,115000,US,Fully Remote,US,Medium,$100K–$150K,US
546,2022,Senior,Full-Time,Data Engineer,110500,US,Fully Remote,US,Medium,$100K–$150K,US
547,2022,Senior,Full-Time,Data Engineer,130000,US,Fully Remote,US,Medium,$100K–$150K,US
548,2022,Senior,Full-Time,Data Analyst,99050,US,Fully Remote,US,Medium,$60K–$100K,US
549,2022,Senior,Full-Time,Data Engineer,160000,US,Fully Remote,US,Medium,$150K–$200K,US
550,2022,Senior,Full-Time,Data Scientist,205300,US,On-Site,US,Large,$200K+,US
551,2022,Senior,Full-Time,Data Scientist,140400,US,On-Site,US,Large,$100K–$150K,US
552,2022,Senior,Full-Time,Data Scientist,176000,US,Fully Remote,US,Medium,$150K–$200K,US
553,2022,Senior,Full-Time,Data Scientist,144000,US,Fully Remote,US,Medium,$100K–$150K,US
554,2022,Senior,Full-Time,Data Engineer,200100,US,Fully Remote,US,Medium,$200K+,US
555,2022,Senior,Full-Time,Data Engineer,160000,US,Fully Remote,US,Medium,$150K–$200K,US
556,2022,Senior,Full-Time,Data Engineer,145000,US,Fully Remote,US,Medium,$100K–$150K,US
557,2022,Senior,Full-Time,Data Engineer,70500,US,On-Site,US,Medium,$60K–$100K,US
558,2022,Senior,Full-Time,Data Scientist,205300,US,On-Site,US,Medium,$200K+,US
559,2022,Senior,Full-Time,Data Scientist,140400,US,On-Site,US,Medium,$100K–$150K,US
560,2022,Senior,Full-Time,Analytics Engineer,205300,US,On-Site,US,Medium,$200K+,US
561,2022,Senior,Full-Time,Analytics Engineer,184700,US,On-Site,US,Medium,$150K–$200K,US
562,2022,Senior,Full-Time,Data Engineer,175100,US,Fully Remote,US,Medium,$150K–$200K,US
563,2022,Senior,Full-Time,Data Engineer,140250,US,Fully Remote,US,Medium,$100K–$150K,US
564,2022,Senior,Full-Time,Data Analyst,116150,US,Fully Remote,US,Medium,$100K–$150K,US
565,2022,Senior,Full-Time,Data Engineer,54000,US,On-Site,US,Medium,Under $60K,US
566,2022,Senior,Full-Time,Data Analyst,170000,US,Fully Remote,US,Medium,$150K–$200K,US
568,2022,Senior,Full-Time,Data Analyst,80000,US,Fully Remote,US,Medium,$60K–$100K,US
569,2022,Senior,Full-Time,Data Scientist,140000,US,Fully Remote,US,Medium,$100K–$150K,US
570,2022,Senior,Full-Time,Data Scientist,210000,US,Fully Remote,US,Medium,$200K+,US
571,2022,Senior,Full-Time,Data Scientist,140000,US,Fully Remote,US,Medium,$100K–$150K,US
572,2022,Senior,Full-Time,Data Analyst,100000,US,Fully Remote,US,Medium,$100K–$150K,US
573,2022,Senior,Full-Time,Data Analyst,69000,US,Fully Remote,US,Medium,$60K–$100K,US
574,2022,Senior,Full-Time,Data Scientist,210000,US,Fully Remote,US,Medium,$200K+,US
575,2022,Senior,Full-Time,Data Scientist,140000,US,Fully Remote,US,Medium,$100K–$150K,US
576,2022,Senior,Full-Time,Data Scientist,210000,US,Fully Remote,US,Medium,$200K+,US
577,2022,Senior,Full-Time,Data Analyst,150075,US,Fully Remote,US,Medium,$150K–$200K,US
578,2022,Senior,Full-Time,Data Engineer,100000,US,Fully Remote,US,Medium,$100K–$150K,US
579,2022,Senior,Full-Time,Data Engineer,25000,US,Fully Remote,US,Medium,Under $60K,US
580,2022,Senior,Full-Time,Data Analyst,126500,US,Fully Remote,US,Medium,$100K–$150K,US
581,2022,Senior,Full-Time,Data Analyst,106260,US,Fully Remote,US,Medium,$100K–$150K,US
582,2022,Senior,Full-Time,Data Engineer,220110,US,Fully Remote,US,Medium,$200K+,US
583,2022,Senior,Full-Time,Data Engineer,160080,US,Fully Remote,US,Medium,$150K–$200K,US
584,2022,Senior,Full-Time,Data Analyst,105000,US,Fully Remote,US,Medium,$100K–$150K,US
585,2022,Senior,Full-Time,Data Analyst,110925,US,Fully Remote,US,Medium,$100K–$150K,US
587,2022,Senior,Full-Time,Data Scientist,140000,US,Fully Remote,US,Medium,$100K–$150K,US
588,2022,Senior,Full-Time,Data Analyst,99000,US,On-Site,US,Medium,$60K–$100K,US
589,2022,Senior,Full-Time,Data Analyst,60000,US,Fully Remote,US,Medium,$60K–$100K,US
590,2022,Senior,Full-Time,Data Architect,192564,US,Fully Remote,US,Medium,$150K–$200K,US
591,2022,Senior,Full-Time,Data Architect,144854,US,Fully Remote,US,Medium,$100K–$150K,US
592,2022,Senior,Full-Time,Data Scientist,230000,US,Fully Remote,US,Medium,$200K+,US
593,2022,Senior,Full-Time,Data Scientist,150000,US,Fully Remote,US,Medium,$150K–$200K,US
594,2022,Senior,Full-Time,Data Analytics Manager,150260,US,Fully Remote,US,Medium,$150K–$200K,US
595,2022,Senior,Full-Time,Data Analytics Manager,109280,US,Fully Remote,US,Medium,$100K–$150K,US
596,2022,Senior,Full-Time,Data Scientist,210000,US,Fully Remote,US,Medium,$200K+,US
597,2022,Senior,Full-Time,Data Analyst,170000,US,Fully Remote,US,Medium,$150K–$200K,US
598,2022,Mid-Level,Full-Time,Data Scientist,160000,US,Fully Remote,US,Medium,$150K–$200K,US
599,2022,Mid-Level,Full-Time,Data Scientist,130000,US,Fully Remote,US,Medium,$100K–$150K,US
600,2022,Entry-Level,Full-Time,Data Analyst,67000,CA,On-Site,CA,Medium,$60K–$100K,International
601,2022,Entry-Level,Full-Time,Data Analyst,52000,CA,On-Site,CA,Medium,Under $60K,International
602,2022,Senior,Full-Time,Data Engineer,154000,US,Fully Remote,US,Medium,$150K–$200K,US
603,2022,Senior,Full-Time,Data Engineer,126000,US,Fully Remote,US,Medium,$100K–$150K,US
604,2022,Senior,Full-Time,Data Analyst,129000,US,On-Site,US,Medium,$100K–$150K,US
605,2022,Senior,Full-Time,Data Analyst,150000,US,Fully Remote,US,Medium,$150K–$200K,US
606,2022,Mid-Level,Full-Time,AI Scientist,200000,IN,Fully Remote,US,Large,$200K+,US
